record_id,account_id,amount,status,last_updated_date
TXN-00278,ACC-1922,1391.32,SETTLED,2026-06-10
TXN-00155,ACC-1817,1949.66,SETTLED,2026-07-30
TXN-00157,ACC-1928,1933.67,SETTLED,2026-06-04
TXN-00019,ACC-1167,2226.92,SETTLED,2026-08-21
TXN-00225,ACC-1552,2377.81,SETTLED,2026-06-06
TXN-00163,ACC-1053,4853.06,SETTLED,2026-08-23
TXN-00235,ACC-1833,3653.99,SETTLED,2026-06-12
TXN-00048,ACC-1123,1201.23,SETTLED,2026-06-03
TXN-00264,ACC-1709,1916.96,PENDING,2026-07-13
TXN-00303,ACC-1660,4150.44,FAILED,2026-08-18
TXN-00199,ACC-1289,4706.74,PENDING,2026-07-08
TXN-00035,ACC-1995,2410.30,SETTLED,2026-06-14
TXN-00273,ACC-1543,1986.67,SETTLED,2026-06-24
TXN-00247,ACC-1279,2071.16,SETTLED,2026-07-31
TXN-00007,ACC-1777,3870.85,SETTLED,2026-07-14
TXN-00158,ACC-1085,3090.56,SETTLED,2026-07-30
TXN-00204,ACC-1587,1375.56,SETTLED,2026-07-14
TXN-00160,ACC-1465,1578.96,FAILED,2026-07-19
TXN-00076,ACC-1673,2807.87,SETTLED,2026-07-04
TXN-00090,ACC-1500,1216.62,FAILED,2026-06-07
TXN-00189,ACC-1500,2671.52,SETTLED,2026-07-31
TXN-00174,ACC-1614,3869.45,PENDING,2026-08-12
TXN-00246,ACC-1510,4477.74,SETTLED,2026-08-30
TXN-00226,ACC-1910,2082.26,SETTLED,2026-07-03
TXN-00232,ACC-1992,451.59,SETTLED,2026-07-13
TXN-00073,ACC-1070,2862.24,SETTLED,2026-07-01
TXN-00012,ACC-1565,1417.86,SETTLED,2026-07-17
TXN-00099,ACC-1105,1707.35,PENDING,2026-07-23
TXN-00150,ACC-1389,2297.35,FAILED,2026-07-09
TXN-00169,ACC-1796,3935.36,REVERSED,2026-06-14
TXN-00126,ACC-1218,2460.97,PENDING,2026-06-22
TXN-00221,ACC-1930,1286.05,SETTLED,2026-06-08
TXN-00111,ACC-1182,2793.12,REVERSED,2026-06-05
TXN-00049,ACC-1602,2665.51,SETTLED,2026-06-01
TXN-00084,ACC-1720,1462.54,REVERSED,2026-08-23
TXN-00001,ACC-1654,547.72,PENDING,2026-07-02
TXN-00265,ACC-1872,3241.80,SETTLED,2026-07-11
TXN-00149,ACC-1968,3336.75,FAILED,2026-08-13
TXN-00020,ACC-1704,2680.00,SETTLED,2026-06-08
TXN-00098,ACC-1920,1727.12,SETTLED,2026-08-25
TXN-00228,ACC-1601,4564.51,REVERSED,2026-08-26
TXN-00146,ACC-1392,3295.14,PENDING,2026-06-09
TXN-00187,ACC-1718,4226.31,SETTLED,2026-08-06
TXN-00086,ACC-1954,3189.32,FAILED,2026-06-18
TXN-00004,ACC-1223,1128.28,SETTLED,2026-08-11
TXN-00074,ACC-1413,588.66,FAILED,2026-07-02
TXN-00287,ACC-1794,3837.55,SETTLED,2026-07-16
TXN-00069,ACC-1222,4642.75,SETTLED,2026-08-09
TXN-00194,ACC-1338,1698.41,REVERSED,2026-07-10
TXN-00016,ACC-1854,1760.72,SETTLED,2026-06-27
TXN-00010,ACC-1618,1280.73,SETTLED,2026-07-23
TXN-00063,ACC-1992,461.26,PENDING,2026-07-01
TXN-00206,ACC-1116,3948.82,SETTLED,2026-06-07
TXN-00191,ACC-1095,1422.92,SETTLED,2026-07-02
TXN-00289,ACC-1773,3464.64,SETTLED,2026-06-18
TXN-00058,ACC-1412,3562.07,PENDING,2026-06-14
TXN-00261,ACC-1102,2531.68,SETTLED,2026-06-19
TXN-00165,ACC-1972,1198.25,PENDING,2026-08-19
TXN-00017,ACC-1686,1292.49,FAILED,2026-08-22
TXN-00251,ACC-1348,4485.38,SETTLED,2026-06-01
TXN-00033,ACC-1768,1291.76,SETTLED,2026-06-15
TXN-00039,ACC-1613,1588.51,SETTLED,2026-07-17
TXN-00106,ACC-1836,4409.79,SETTLED,2026-06-30
TXN-00031,ACC-1541,1287.19,SETTLED,2026-06-02
TXN-00115,ACC-1446,23.09,FAILED,2026-08-08
TXN-00041,ACC-1059,1167.57,REVERSED,2026-06-11
TXN-00060,ACC-1432,892.99,SETTLED,2026-06-10
TXN-00274,ACC-1174,852.71,SETTLED,2026-07-11
TXN-00006,ACC-1225,2164.47,SETTLED,2026-06-01
TXN-00156,ACC-1941,625.70,SETTLED,2026-06-04
TXN-00002,ACC-1228,682.69,PENDING,2026-08-09
TXN-00210,ACC-1809,2974.13,PENDING,2026-07-19
TXN-00249,ACC-1943,2883.02,PENDING,2026-06-18
TXN-00253,ACC-1675,2357.93,SETTLED,2026-08-08
TXN-00205,ACC-1188,4634.91,SETTLED,2026-08-01
TXN-00079,ACC-1323,4460.35,PENDING,2026-06-02
TXN-00243,ACC-1818,1160.04,SETTLED,2026-08-10
TXN-00282,ACC-1109,1150.03,SETTLED,2026-08-13
TXN-00171,ACC-1929,4599.86,PENDING,2026-06-26
TXN-00092,ACC-1003,1611.07,SETTLED,2026-07-04
TXN-00252,ACC-1289,3489.15,PENDING,2026-08-14
TXN-00304,ACC-1608,2441.32,SETTLED,2026-08-10
TXN-00009,ACC-1104,458.79,SETTLED,2026-07-15
TXN-00259,ACC-1155,2385.15,SETTLED,2026-08-04
TXN-00240,ACC-1452,3651.55,SETTLED,2026-08-10
TXN-00022,ACC-1274,331.71,REVERSED,2026-08-12
TXN-00105,ACC-1893,200.30,SETTLED,2026-06-26
TXN-00217,ACC-1033,1122.61,PENDING,2026-08-29
TXN-00183,ACC-1285,4233.61,SETTLED,2026-07-30
TXN-00269,ACC-1444,4696.35,PENDING,2026-08-30
TXN-00108,ACC-1285,4150.93,REVERSED,2026-07-06
TXN-00230,ACC-1481,2498.24,SETTLED,2026-07-06
TXN-00113,ACC-1446,2909.06,SETTLED,2026-07-20
TXN-00008,ACC-1284,758.97,REVERSED,2026-07-14
TXN-00096,ACC-1596,2658.83,SETTLED,2026-06-06
TXN-00173,ACC-1104,3351.07,SETTLED,2026-08-27
TXN-00061,ACC-1453,3881.39,FAILED,2026-06-13
TXN-00026,ACC-1269,3589.46,SETTLED,2026-08-14
TXN-00118,ACC-1942,1595.01,SETTLED,2026-06-16
TXN-00040,ACC-1899,4729.76,PENDING,2026-07-01
TXN-00138,ACC-1572,2878.24,REVERSED,2026-07-27
TXN-00122,ACC-1693,3594.82,SETTLED,2026-08-12
TXN-00075,ACC-1592,2878.78,SETTLED,2026-07-24
TXN-00193,ACC-1543,1659.88,REVERSED,2026-08-10
TXN-00024,ACC-1405,4248.21,SETTLED,2026-06-19
TXN-00198,ACC-1741,2836.17,PENDING,2026-08-06
TXN-00034,ACC-1300,2095.35,SETTLED,2026-07-04
TXN-00139,ACC-1627,3914.81,FAILED,2026-07-25
TXN-00295,ACC-1850,802.35,FAILED,2026-08-01
TXN-00148,ACC-1063,1004.70,SETTLED,2026-08-14
TXN-00102,ACC-1902,1987.83,SETTLED,2026-07-13
TXN-00130,ACC-1025,236.13,REVERSED,2026-08-18
TXN-00172,ACC-1077,2850.73,PENDING,2026-07-02
TXN-00015,ACC-1887,498.29,SETTLED,2026-08-21
TXN-00070,ACC-1062,3594.06,SETTLED,2026-08-14
TXN-00258,ACC-1395,4719.28,PENDING,2026-08-23
TXN-00162,ACC-1854,450.53,SETTLED,2026-08-09
TXN-00056,ACC-1433,1982.12,FAILED,2026-06-07
TXN-00233,ACC-1328,3221.59,FAILED,2026-07-13
TXN-00114,ACC-1921,2773.97,SETTLED,2026-08-30
TXN-00142,ACC-1860,3066.21,PENDING,2026-08-06
TXN-00135,ACC-1797,2049.32,SETTLED,2026-08-29
TXN-00104,ACC-1273,776.76,PENDING,2026-07-19
TXN-00214,ACC-1640,1024.76,SETTLED,2026-06-21
TXN-00125,ACC-1670,1556.96,SETTLED,2026-08-26
TXN-00231,ACC-1185,4785.38,SETTLED,2026-08-02
TXN-00153,ACC-1919,1070.28,SETTLED,2026-07-26
TXN-00219,ACC-1806,3801.12,SETTLED,2026-06-26
TXN-00101,ACC-1885,775.17,PENDING,2026-06-23
TXN-00260,ACC-1988,2839.01,FAILED,2026-07-27
TXN-00127,ACC-1674,420.75,SETTLED,2026-08-21
TXN-00085,ACC-1541,52.43,PENDING,2026-07-09
TXN-00066,ACC-1271,4448.39,PENDING,2026-07-07
TXN-00143,ACC-1496,3013.99,REVERSED,2026-06-10
TXN-00064,ACC-1170,1959.69,SETTLED,2026-07-22
TXN-00121,ACC-1130,932.95,SETTLED,2026-07-19
TXN-00305,ACC-1977,3803.85,FAILED,2026-07-28
TXN-00202,ACC-1566,1412.87,FAILED,2026-08-21
TXN-00276,ACC-1146,1164.04,SETTLED,2026-07-29
TXN-00283,ACC-1302,4765.03,SETTLED,2026-08-24
TXN-00164,ACC-1070,3753.20,SETTLED,2026-06-04
TXN-00120,ACC-1418,1575.79,SETTLED,2026-08-10
TXN-00065,ACC-1924,295.57,SETTLED,2026-07-20
TXN-00248,ACC-1249,2200.72,SETTLED,2026-06-25
TXN-00296,ACC-1990,3874.05,PENDING,2026-07-14
TXN-00100,ACC-1997,2984.87,SETTLED,2026-07-01
TXN-00112,ACC-1111,2869.59,SETTLED,2026-07-11
TXN-00013,ACC-1591,935.10,SETTLED,2026-08-24
TXN-00119,ACC-1737,4321.72,SETTLED,2026-08-25
TXN-00195,ACC-1257,1118.12,PENDING,2026-07-11
TXN-00046,ACC-1205,3426.46,SETTLED,2026-08-25
TXN-00218,ACC-1880,2187.54,SETTLED,2026-07-04
TXN-00167,ACC-1577,4550.02,SETTLED,2026-07-03
TXN-00250,ACC-1884,349.04,PENDING,2026-07-24
TXN-00188,ACC-1970,929.20,SETTLED,2026-07-18
TXN-00223,ACC-1943,1396.00,SETTLED,2026-08-28
TXN-00267,ACC-1036,2969.54,SETTLED,2026-08-27
TXN-00284,ACC-1405,1328.39,SETTLED,2026-08-25
TXN-00257,ACC-1044,1537.47,SETTLED,2026-07-19
TXN-00103,ACC-1801,4468.95,PENDING,2026-07-02
TXN-00159,ACC-1186,255.61,SETTLED,2026-06-28
TXN-00293,ACC-1765,2003.18,SETTLED,2026-08-09
TXN-00268,ACC-1943,1390.11,SETTLED,2026-06-12
TXN-00262,ACC-1419,4182.41,REVERSED,2026-06-10
TXN-00307,ACC-1619,2290.88,SETTLED,2026-06-08
TXN-00093,ACC-1165,3561.79,SETTLED,2026-07-25
TXN-00178,ACC-1983,1748.07,FAILED,2026-07-21
TXN-00270,ACC-1893,495.93,SETTLED,2026-07-09
TXN-00141,ACC-1761,4137.25,SETTLED,2026-07-02
TXN-00238,ACC-1890,2611.31,SETTLED,2026-06-25
TXN-00200,ACC-1232,1741.82,PENDING,2026-08-30
TXN-00224,ACC-1311,3428.65,FAILED,2026-08-04
TXN-00145,ACC-1914,2599.63,SETTLED,2026-06-30
TXN-00290,ACC-1643,479.93,SETTLED,2026-06-06
TXN-00288,ACC-1224,3061.22,SETTLED,2026-08-26
TXN-00028,ACC-1521,2376.47,PENDING,2026-06-15
TXN-00212,ACC-1439,1476.24,SETTLED,2026-08-18
TXN-00272,ACC-1300,1730.25,FAILED,2026-07-02
TXN-00081,ACC-1075,2587.58,SETTLED,2026-06-17
TXN-00021,ACC-1234,3947.33,PENDING,2026-07-22
TXN-00043,ACC-1784,616.76,SETTLED,2026-08-10
TXN-00038,ACC-1552,4577.50,FAILED,2026-06-01
TXN-00062,ACC-1051,3135.51,SETTLED,2026-06-02
TXN-00054,ACC-1484,1177.74,SETTLED,2026-07-23
TXN-00131,ACC-1870,3692.22,SETTLED,2026-08-20
TXN-00207,ACC-1590,3026.90,SETTLED,2026-06-20
TXN-00255,ACC-1386,2193.82,SETTLED,2026-06-24
TXN-00094,ACC-1574,61.27,SETTLED,2026-08-18
TXN-00059,ACC-1254,931.76,SETTLED,2026-06-18
TXN-00256,ACC-1714,1195.49,SETTLED,2026-07-23
TXN-00050,ACC-1072,3402.02,SETTLED,2026-06-09
TXN-00277,ACC-1261,3205.83,FAILED,2026-07-30
TXN-00271,ACC-1925,153.51,SETTLED,2026-06-08
TXN-00011,ACC-1549,612.29,FAILED,2026-06-11
TXN-00196,ACC-1122,3569.69,REVERSED,2026-08-28
TXN-00227,ACC-1026,452.00,REVERSED,2026-08-13
TXN-00051,ACC-1927,165.31,SETTLED,2026-08-05
TXN-00071,ACC-1488,2421.14,FAILED,2026-06-21
TXN-00292,ACC-1749,643.81,FAILED,2026-07-12
TXN-00203,ACC-1889,3617.11,SETTLED,2026-06-02
TXN-00306,ACC-1930,3889.97,SETTLED,2026-07-12
TXN-00047,ACC-1665,1815.54,FAILED,2026-07-28
TXN-00072,ACC-1058,4612.33,SETTLED,2026-06-24
TXN-00211,ACC-1461,4362.19,SETTLED,2026-08-15
TXN-00166,ACC-1156,1156.44,SETTLED,2026-06-15
TXN-00190,ACC-1661,3421.17,SETTLED,2026-06-03
TXN-00078,ACC-1405,641.25,SETTLED,2026-07-29
TXN-00045,ACC-1987,1028.45,SETTLED,2026-08-28
TXN-00179,ACC-1724,747.06,SETTLED,2026-08-06
TXN-00082,ACC-1955,1685.01,REVERSED,2026-07-02
TXN-00136,ACC-1530,2237.87,SETTLED,2026-06-16
TXN-00152,ACC-1551,3591.86,SETTLED,2026-08-17
TXN-00208,ACC-1830,2708.19,SETTLED,2026-07-02
TXN-00053,ACC-1135,3476.24,FAILED,2026-08-13
TXN-00176,ACC-1379,344.96,SETTLED,2026-06-02
TXN-00036,ACC-1891,3007.06,PENDING,2026-08-04
TXN-00180,ACC-1988,3127.44,SETTLED,2026-08-08
TXN-00029,ACC-1156,3017.33,PENDING,2026-07-25
TXN-00182,ACC-1274,1557.23,FAILED,2026-06-12
TXN-00220,ACC-1435,564.20,REVERSED,2026-06-20
TXN-00209,ACC-1121,2685.38,SETTLED,2026-08-16
TXN-00151,ACC-1771,1881.09,FAILED,2026-07-24
TXN-00201,ACC-1546,620.70,SETTLED,2026-06-07
TXN-00197,ACC-1189,931.52,PENDING,2026-07-06
TXN-00087,ACC-1270,567.33,SETTLED,2026-08-10
TXN-00280,ACC-1654,4618.31,SETTLED,2026-07-29
TXN-00281,ACC-1865,1460.65,REVERSED,2026-08-01
TXN-00308,ACC-1461,510.26,FAILED,2026-07-14
TXN-00236,ACC-1322,1222.73,SETTLED,2026-07-22
TXN-00133,ACC-1409,1182.47,SETTLED,2026-06-01
